"Submission Date","Username","Level","Total XP","Collector Badge","Jogger Badge","Team","XP Screenshot","Collector Badge Screenshot","Jogger Badge Screenshot",""
"2016-11-19 14:02:39","GRAF3NB3RG ","34","1095059","12072","1015.6","Instinct","[IMG_2007.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a432ca8IMG_2007.PNG","[IMG_2009.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/b21ddc9IMG_2009.PNG","[IMG_2008.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/cadc022IMG_2008.PNG",""
"2016-11-19 14:02:00","Tp0t","30","2165347","4981","435.8","Instinct","[IMG_0686.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/76cdc17IMG_0686.PNG","[IMG_0687.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/945179aIMG_0687.PNG","[IMG_0688.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a174779IMG_0688.PNG",""
"2016-11-19 14:01:53","Troutpoo1","26","109745","3745","380.9","Valor","[IMG_1239.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/9f5cce4IMG_1239.PNG","[IMG_1240.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/97d4d44IMG_1240.PNG","[IMG_1241.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/97a5c44IMG_1241.PNG",""
"2016-11-19 14:01:52","pelliepenguin","32","3411630","9584","730.6","Mystic","[Screenshot_2016-11-19-14-00-44.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/6c2843eScreenshot_2016-11-19-14-00-44.png","[Screenshot_2016-11-19-14-01-14.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/83b0c9bScreenshot_2016-11-19-14-01-14.png","[Screenshot_2016-11-19-14-01-33.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/9828e01Screenshot_2016-11-19-14-01-33.png",""
"2016-11-19 14:01:01","Mellib0025","23","527774","1848","173.8","Instinct","[IMG_4387.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2561391IMG_4387.PNG","[IMG_4388.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/13dc4ecIMG_4388.PNG","[IMG_4389.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/232eb03IMG_4389.PNG",""
"2016-11-19 14:00:45","pathos41","35","6324690","17613","1052.3","Mystic","","","",""
"2016-11-19 14:00:42","WhiteySwag","32","544325","10105","839.5","Mystic","[Screenshot_20161119-135813.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/3806a51Screenshot_20161119-135813.png","[Screenshot_20161119-135906.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/4aac47eScreenshot_20161119-135906.png","[Screenshot_20161119-135935.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/592d123Screenshot_20161119-135935.png",""
"2016-11-19 13:59:49","Stephanie870","26","988829","3393","306.3","Valor","[IMG_1165.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/22a0cecIMG_1165.PNG","[IMG_1166.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/229ba48IMG_1166.PNG","[IMG_1167.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/225f686IMG_1167.PNG",""
"2016-11-19 13:59:35","Awaylemonade","28","1627668","4349","295.4","Instinct","[Screenshot_20161119-135629.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/127d61eScreenshot_20161119-135629.png","[Screenshot_20161119-135636.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/9aeacceScreenshot_20161119-135636.png","[Screenshot_20161119-135642.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a36a9dbScreenshot_20161119-135642.png",""
"2016-11-19 13:59:03","GiganticTuna","34","5065792","11250","509.8","Instinct","[Screenshot_20161119-135724.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/e75bf20Screenshot_20161119-135724.png","[Screenshot_20161119-135728.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/edcb393Screenshot_20161119-135728.png","[Screenshot_20161119-135735.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/f52f2e5Screenshot_20161119-135735.png",""
