Submission Date,Username,Level,Total XP,Collector Badge,Jogger Badge,Team,XP Screenshot,Collector Badge Screenshot,Jogger Badge Screenshot,No Label,IP,Submission ID,Edit Link
2017-01-21 12:03:33,Cptnoblvs,28,1564432,5033,100,Mystic,[IMG_0355.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/62c79a0IMG_0355.PNG,[IMG_0354.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/5e8e911IMG_0354.PNG,[IMG_0353.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/5fbbfbbIMG_0353.PNG,,184.151.246.3,360827412364177755,Edit Submission
2017-01-21 12:03:45,likejagger5,32,3013647,7397,859,Valor,[Capture+_2017-01-21-12-02-03.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/4e663bdCapture%2B_2017-01-21-12-02-03.png,[Capture+_2017-01-21-12-02-20.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/5857466Capture%2B_2017-01-21-12-02-20.png,[Capture+_2017-01-21-12-01-48.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/6441ec2Capture%2B_2017-01-21-12-01-48.png,,184.151.246.174,360827425471464057,Edit Submission
2017-01-21 12:04:28,theRytex,21,19822,823,92.5,Mystic,[IMG_1751.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/9b0bbbcIMG_1751.PNG,[IMG_1753.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/99be152IMG_1753.PNG,[IMG_1755.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/9a72434IMG_1755.PNG,,142.169.78.51,360827468158929519,Edit Submission
2017-01-21 12:04:36,sophiepokecool,23,504876,1276,160.4,Mystic,[IMG_9282.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/a26ab3dIMG_9282.PNG,[IMG_9286.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/a172e21IMG_9286.PNG,[IMG_9285.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/8133531IMG_9285.PNG,,204.48.78.12,360827475218977037,Edit Submission
2017-01-21 12:04:55,Smartin70,26,977440,3176,298.6,Mystic,[IMG_1900.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/4537ca3IMG_1900.PNG,[IMG_1901.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/554e876IMG_1901.PNG,[IMG_1903.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/b605e06IMG_1903.PNG,,204.48.78.74,360827495478543441,Edit Submission
2017-01-21 12:05:42,MaestroKurt,28,1635302,5179,529.5,Mystic,[Screenshot_20170121-120238.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/de597ccScreenshot_20170121-120238.png,[Screenshot_20170121-120223.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/c81d4c2Screenshot_20170121-120223.png,[Screenshot_20170121-120149.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/b3d5718Screenshot_20170121-120149.png,,24.114.93.149,360827542941184522,Edit Submission
2017-01-21 12:06:29,Frankiehokage,32,3044828,7599,845.9,Valor,[Capture+_2017-01-21-12-05-04.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/ed527e8Capture%2B_2017-01-21-12-05-04.png,[Capture+_2017-01-21-12-05-13.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/fa5aa5dCapture%2B_2017-01-21-12-05-13.png,[Capture+_2017-01-21-12-04-50.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/0951b36Capture%2B_2017-01-21-12-04-50.png,,142.169.78.104,360827589401285417,Edit Submission
2017-01-21 12:06:49,Ishixe,15,105126,373,9.9,Valor,[tmp_11106-Screenshot_20170121-1202151428490050.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/2807d3ctmp_11106-Screenshot_20170121-1202151428490050.png,[tmp_11106-Screenshot_20170121-1206131614495654.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/277ec68tmp_11106-Screenshot_20170121-1206131614495654.png,[tmp_11106-Screenshot_20170121-1206051996526422.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/26743d1tmp_11106-Screenshot_20170121-1206051996526422.png,,204.48.79.97,360827609799546452,Edit Submission
2017-01-21 12:07:19,Gabrielle1900,19,192147,488,51.4,Mystic,[IMG_0465.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/4543307IMG_0465.PNG,[IMG_0466.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/44d2650IMG_0466.PNG,[IMG_0467.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/45165a6IMG_0467.PNG,,204.48.78.12,360827639218866041,Edit Submission
2017-01-21 12:07:42,Anneb3,24,704575,500,100,Mystic,[IMG_2048.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/b54e0bfIMG_2048.PNG,[IMG_2050.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/e992532IMG_2050.PNG,[IMG_2049.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/e7f2bacIMG_2049.PNG,,184.151.246.121,360827662121435459,Edit Submission
2017-01-21 12:17:15,Yunabys,33,506039,12124,910.1,Valor,[Screenshot_2017-01-21-12-10-55.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/7739fe1Screenshot_2017-01-21-12-10-55.png,[Screenshot_2017-01-21-12-08-05.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/8ab4aaaScreenshot_2017-01-21-12-08-05.png,[Screenshot_2017-01-21-12-11-10.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/990f789Screenshot_2017-01-21-12-11-10.png,,204.48.77.143,360828235341661916,Edit Submission
2017-01-21 12:29:41,Exdeath86,35,6197999,15025,1295.7,Mystic,[Screenshot_2017-01-21-12-27-30.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/5924838Screenshot_2017-01-21-12-27-30.png,[Screenshot_2017-01-21-12-28-09.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/6e1167fScreenshot_2017-01-21-12-28-09.png,[Screenshot_2017-01-21-12-28-28.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/80ab8a5Screenshot_2017-01-21-12-28-28.png,,24.114.93.47,360828981743236638,Edit Submission
2017-01-21 13:54:37,Simplymoxie,40,21519505,45608,2254.8,Mystic,[Screenshot_20170121-135318.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/6c3d153Screenshot_20170121-135318.png,[Screenshot_20170121-135401.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/6c806d1Screenshot_20170121-135401.png,[Screenshot_20170121-135312.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/6be87e1Screenshot_20170121-135312.png,,24.114.93.59,360834077953840785,Edit Submission
2017-01-21 13:55:39,Hashable,30,2400185,6253,603.3,Instinct,[Screenshot_20170121-135249.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/a9e2e3dScreenshot_20170121-135249.png,[Screenshot_20170121-135257.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/a9e0571Screenshot_20170121-135257.png,[Screenshot_20170121-135303.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/a38b43cScreenshot_20170121-135303.png,,199.119.233.179,360834139971208274,Edit Submission
2017-01-21 13:56:39,lXlWingZerolXl,38,12393536,29825,1465.9,Mystic,[IMG_1229.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/93a4a60IMG_1229.PNG,[IMG_1228.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/c30c780IMG_1228.PNG,[IMG_1230.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/d34f048IMG_1230.PNG,,24.114.105.88,360834199885478954,Edit Submission
2017-01-21 13:58:02,Infinitrize,35,6523030,14745,1256.8,Instinct,[Screenshot_2017-01-21-13-56-02.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/0c19061Screenshot_2017-01-21-13-56-02.png,[Screenshot_2017-01-21-13-56-47.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/16b5c89Screenshot_2017-01-21-13-56-47.png,[Screenshot_2017-01-21-13-56-28.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/2737a93Screenshot_2017-01-21-13-56-28.png,,142.169.78.229,360834282922760800,Edit Submission
2017-01-21 14:01:48,SodomEyes,32,3082265,9599,1020.2,Instinct,[IMG_1564.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/1a29ee1IMG_1564.PNG,[IMG_1563.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/1499332IMG_1563.PNG,[IMG_1562.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/16dcbb3IMG_1562.PNG,,184.151.246.30,360834508036382809,Edit Submission
2017-01-21 14:03:06,Pelliepenguin,35,7131904,17476,1144.6,Mystic,[Screenshot_2017-01-21-14-00-27.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/0edfd78Screenshot_2017-01-21-14-00-27.png,[Screenshot_2017-01-21-14-00-31.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/2c744b4Screenshot_2017-01-21-14-00-31.png,[Screenshot_2017-01-21-14-00-36.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/55ca2fcScreenshot_2017-01-21-14-00-36.png,,184.151.246.212,360834586212384642,Edit Submission
2017-01-21 14:03:43,FrankieHokage,32,3064033,7729,848.1,Valor,[Capture+_2017-01-21-14-01-36.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/64e45efCapture%2B_2017-01-21-14-01-36.png,[Capture+_2017-01-21-14-01-25.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/719a20cCapture%2B_2017-01-21-14-01-25.png,[Capture+_2017-01-21-14-02-16.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/80cb122Capture%2B_2017-01-21-14-02-16.png,,142.169.78.104,360834623401668363,Edit Submission
2017-01-21 14:03:53,StatsMan99,29,1657439,4923,780,Mystic,[Screenshot_20170121-140218.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/4f152d1Screenshot_20170121-140218.png,[Screenshot_20170121-140256.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/6fd4eb4Screenshot_20170121-140256.png,[Screenshot_20170121-140327.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/8fc82e0Screenshot_20170121-140327.png,,24.114.85.79,360834633975356470,Edit Submission
