Submission Date,Username,Level,Team,Total XP,Your XP Screenshot:,Collector Badge,Your Collector Badge Screenshot:,Jogger Badge,Your Jogger Badge Screenshot:,No Label,IP,Submission ID,Edit Link
2017-03-18 12:10:53,HeyWannaPlayCA,26,Valor,134649,[IMG_5898.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/85afd30IMG_5898.PNG,2510,[IMG_5899.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/83ecda9IMG_5899.PNG,207.2,[IMG_5901.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/831aec9IMG_5901.PNG,,184.151.246.111,365662653111496384,Edit Submission
2017-03-18 12:15:37,Assssassss,22,Valor,61819,https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/2898266Screenshot_2017-03-18-12-12-48.png,980,[Screenshot_2017-03-18-12-14-23.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/1c78106Screenshot_2017-03-18-12-14-23.png,45.1,[Screenshot_2017-03-18-12-13-13.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/1c4a1eaScreenshot_2017-03-18-12-13-13.png,,184.151.246.123,365662937321595783,Edit Submission
2017-03-18 13:49:50,lXlWingZerolXl,38,Mystic,14268993,[IMG_2346.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/18dcfb3IMG_2346.PNG,36080,[IMG_2347.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/29e7bf1IMG_2347.PNG,1812.5,[IMG_2348.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/3c10804IMG_2348.PNG,,24.114.106.119,365668590911820015,Edit Submission
2017-03-18 13:51:30,gigantictuna,37,Instinct,10743830,[Screenshot_20170318-134956.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/a17d64cScreenshot_20170318-134956.png,19832,[Screenshot_20170318-135045.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/a0d7558Screenshot_20170318-135045.png,835.2,[Screenshot_20170318-135114.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/a0d9969Screenshot_20170318-135114.png,,142.169.78.159,365668690951593794,Edit Submission
2017-03-18 13:51:34,SimplyMoxie,40,Mystic,25301618,[Screenshot_20170318-134959.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/a0a5fddScreenshot_20170318-134959.png,59212,[Screenshot_20170318-135011.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/9a23db1Screenshot_20170318-135011.png,2947.8,[Screenshot_20170318-135006.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/9238d0eScreenshot_20170318-135006.png,,204.48.76.177,365668694771739558,Edit Submission
2017-03-18 13:51:40,PhoenixAstra,35,Mystic,6386165,[IMG_4923.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/aa69359IMG_4923.PNG,20961,[IMG_4925.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/aa24cf9IMG_4925.PNG,1056.2,[IMG_4924.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/aa1d4bbIMG_4924.PNG,,24.114.100.148,365668700841155483,Edit Submission
2017-03-18 13:53:00,sumarufloating,37,Mystic,10706668,[IMG_3423.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/faf3825IMG_3423.PNG,21941,[IMG_3428.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/fac7a46IMG_3428.PNG,1594.9,[IMG_3427.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/d60f740IMG_3427.PNG,,142.169.78.14,365668780418785870,Edit Submission
2017-03-18 13:53:49,TheBigDea1,40,Instinct,20060626,[IMG_0770.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/2c1059cIMG_0770.PNG,38582,[IMG_0772.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/2b5b927IMG_0772.PNG,4098.2,[IMG_0771.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/2b6b706IMG_0771.PNG,,24.114.81.168,365668829861622841,Edit Submission
2017-03-18 13:55:42,GRAF3NB3RG,39,Instinct,1573281,[IMG_2523.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/440a83eIMG_2523.PNG,33037,[IMG_2524.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/615c75fIMG_2524.PNG,2238.2,[IMG_2525.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/93cdb55IMG_2525.PNG,,184.151.246.81,365668942186777702,Edit Submission
2017-03-18 13:56:24,gorbenschtein,37,Mystic,9555249,[tmp_24029-Screenshot_2017-03-18-13-53-53555525750.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/6e857fctmp_24029-Screenshot_2017-03-18-13-53-53555525750.png,23754,[tmp_24029-Screenshot_2017-03-18-13-54-141868499358.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/9431d5etmp_24029-Screenshot_2017-03-18-13-54-141868499358.png,1983.5,[tmp_24029-Screenshot_2017-03-18-13-54-01116951612.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/c177286tmp_24029-Screenshot_2017-03-18-13-54-01116951612.png,,199.7.157.106,365668984601404627,Edit Submission
2017-03-18 13:56:41,Hashable,31,Instinct,2568885,,6656,,621.1,,,199.7.157.29,365669000927642696,Edit Submission
2017-03-18 13:57:57,SooNet,29,Mystic,324066,[IMG_9053.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/5e1e679IMG_9053.PNG,5112,[IMG_9054.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/5dd024aIMG_9054.PNG,719,[IMG_9055.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/5da9d7fIMG_9055.PNG,,24.114.91.209,365669077902293403,Edit Submission
2017-03-18 13:58:40,Infinitrize,35,Instinct,7317607,[Screenshot_20170318-135713.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/27df54eScreenshot_20170318-135713.png,17781,[Screenshot_20170318-135726.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/37e8e3aScreenshot_20170318-135726.png,1491.1,[Screenshot_20170318-135720.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/4dddec0Screenshot_20170318-135720.png,,24.114.103.27,365669120723267965,Edit Submission
2017-03-18 13:59:56,SooNet,29,Mystic,343976,[IMG_9062.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/9b340dfIMG_9062.PNG,5210,[IMG_9064.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/9b05ec8IMG_9064.PNG,723.5,[IMG_9065.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/9ad441aIMG_9065.PNG,,24.114.91.209,365669196902874167,Edit Submission
